player,pos,team,non_ppr_projection,ppr_projection,bye_week,ADP,rookie
Ladd McConkey,WR,LAC,108,11.81764706,5,100,1
Keon Coleman,WR,BUF,107,11.14117647,12,103.2,1
Rome Odunze,WR,CHI,101,10.38823529,7,104,1
Blake Corum,RB,LAR,106,8.688235294,6,123.2,1
Brian Thomas Jr.,WR,JAC,107,10.9,12,124,1
MarShawn Lloyd,RB,GB,86,7.105882353,10,163.6,1
Xavier Legette,WR,CAR,71,7.670588235,11,165.2,1
Jaylen Wright,RB,MIA,81,7.252941176,6,170.8,1
Adonai Mitchell,WR,IND,86,8.847058824,14,172.2,1
J.J. McCarthy,QB,MIN,228,15.15647059,6,189.8,1
Ricky Pearsall,WR,SF,55,6.1,9,191.6,1
Roman Wilson,WR,PIT,71,7.776470588,9,192.5,1
Troy Franklin,WR,DEN,84,9.294117647,14,198.8,1
Marvin Harrison Jr.,WR,ARI,163,16.4,11,200,1
Malik Nabers,WR,NYG,115,11.75882353,11,200,1
Jonathon Brooks,RB,CAR,102,8.847058824,11,200,1
Xavier Worthy,WR,KC,118,11.24117647,6,200,1
Brock Bowers,TE,LV,89,9.776470588,10,200,1
Ja'Lynn Polk,WR,NE,56,6.517647059,14,201,1
Tyrone Tracy Jr.,RB,NYG,85,7.594117647,11,203.6,1
Bucky Irving,RB,TB,75,7.358823529,11,207,1
Jermaine Burton,WR,CIN,78,8.194117647,12,208.5,1
Drake Maye,QB,NE,135,9.869411765,14,213.3,1
Braelon Allen,RB,NYJ,75,6.511764706,12,215,1
Ray Davis,RB,BUF,71,6.829411765,12,215.5,1
Ben Sinnott,TE,WAS,63,7.288235294,14,220.8,1
Bo Nix,QB,DEN,218,14.32705882,14,224,1
Audric Estime,RB,DEN,46,4.217647059,14,229.5,1
Will Shipley,RB,PHI,19,1.829411765,5,246.3,1
Jayden Daniels,QB,WAS,311,20.34941176,14,109.4,1
Caleb Williams,QB,CHI,317,20.69529412,7,117.8,1
Trey Benson,RB,ARI,107,8.694117647,11,121.8,1
Ja'Marr Chase,WR,CIN,183,17.08235294,12,5.8,
Justin Jefferson,WR,MIN,191,18.24117647,6,6,
Bijan Robinson,RB,ATL,233,19.44117647,12,6,
Amon-Ra St. Brown,WR,DET,193,18.74117647,5,6.8,
A.J. Brown,WR,PHI,185,17.22352941,5,10.2,
Saquon Barkley,RB,PHI,262,19.95882353,5,10.4,
Jonathan Taylor,RB,IND,232,16.82941176,14,11.2,
Jahmyr Gibbs,RB,DET,181,15.87647059,5,11.6,
Puka Nacua,WR,LAR,182,17.3,6,12.4,
Garrett Wilson,WR,NYJ,152,15.76470588,12,13.6,
Kyren Williams,RB,LAR,215,16.06470588,6,16,
Travis Etienne,RB,JAC,186,15.07058824,12,18.2,
Davante Adams,WR,LV,158,15.28823529,10,18.4,
Derrick Henry,RB,BAL,206,14.86470588,14,18.8,
Isiah Pacheco,RB,KC,187,14.95294118,6,21.4,
Chris Olave,WR,NO,154,14.74117647,12,23.4,
Travis Kelce,TE,KC,153,15.77058824,6,23.4,
De'Von Achane,RB,MIA,186,14.58235294,6,25,
Drake London,WR,ATL,148,14.37058824,12,25.2,
Josh Allen,QB,BUF,408,25.87176471,12,26.2,
Sam LaPorta,TE,DET,135,13.44117647,5,26.2,
Patrick Mahomes,QB,KC,375,23.84941176,6,29.6,
Josh Jacobs,RB,GB,194,14.69411765,10,30.4,
Mike Evans,WR,TB,163,14.21176471,11,30.8,
Jalen Hurts,QB,PHI,425,26.94941176,5,31.8,
Michael Pittman,WR,IND,128,13.93529412,14,32.6,
Nico Collins,WR,HOU,169,14.88235294,14,32.8,
Brandon Aiyuk,WR,SF,158,14.15882353,9,32.8,
Deebo Samuel,WR,SF,163,14.64705882,9,33,
Rachaad White,RB,TB,178,15.03529412,11,33.4,
James Cook,RB,BUF,186,14.69411765,12,33.6,
Lamar Jackson,QB,BAL,367,23.26823529,14,37.6,
Stefon Diggs,WR,HOU,137,13.53529412,14,37.8,
Cooper Kupp,WR,LAR,149,14.65882353,6,38.2,
Alvin Kamara,RB,NO,156,14.76470588,12,39.6,
Jaylen Waddle,WR,MIA,137,13.11176471,6,40.8,
Joe Mixon,RB,HOU,189,14.82941176,14,41,
DK Metcalf,WR,SEA,155,13.48235294,10,42.2,
DJ Moore,WR,CHI,156,14.29411765,7,43,
Kenneth Walker III,RB,SEA,170,12.88235294,10,43.2,
DeVonta Smith,WR,PHI,156,14.63529412,5,43.4,
Mark Andrews,TE,BAL,144,12.75882353,14,43.6,
Trey McBride,TE,ARI,111,11.94117647,11,46.6,
C.J. Stroud,QB,HOU,344,21.9,14,47.6,
Dalton Kincaid,TE,BUF,109,12.14705882,12,52.2,
Anthony Richardson,QB,IND,339,21.47411765,14,53.4,
Amari Cooper,WR,CLE,154,13.87647059,10,55.6,
