player,src_id,id,pos,team,non_ppr_projection,ppr_projection,bye_week,ADP
Jalen Hurts,2240246,14783,QB,PHI,425,26.94941176,5,31.8
Josh Allen,2181054,13589,QB,BUF,408,25.87176471,12,26.2
Patrick Mahomes,2142052,13116,QB,KC,375,23.84941176,6,29.6
Lamar Jackson,2181169,13593,QB,BAL,367,23.26823529,14,37.6
Jordan Love,2239997,14782,QB,GB,363,22.96,10,74.2
Dak Prescott,1824864,12620,QB,DAL,358,22.94,7,68.4
Brock Purdy,2961306,15698,QB,SF,351,22.35882353,9,96.2
Joe Burrow,2179798,14777,QB,CIN,351,22.34,12,60
C.J. Stroud,3163079,,QB,HOU,344,21.9,14,47.6
Anthony Richardson,3163263,,QB,IND,339,21.47411765,14,53.4
Trevor Lawrence,2967185,15237,QB,JAC,334,21.37882353,12,133.2
Kyler Murray,2180829,14056,QB,ARI,328,21.17882353,11,75.6
Justin Herbert,2221960,14779,QB,LAC,333,21.02941176,5,128.8
Jared Goff,2061053,12611,QB,DET,336,21.00588235,5,118
Caleb Williams,26695775,,QB,CHI,317,20.69529412,7,117.8
Jayden Daniels,3123337,,QB,WAS,311,20.34941176,14,109.4
Kirk Cousins,1272574,10700,QB,ATL,323,20.32823529,12,146
Derek Carr,1664819,11644,QB,NO,316,19.87411765,12,223.6
Baker Mayfield,2080032,13590,QB,TB,308,19.86352941,11,166.6
Deshaun Watson,2133482,13113,QB,CLE,302,19.74705882,10,168.4
Tua Tagovailoa,2741209,14778,QB,MIA,308,19.61411765,6,115.6
Geno Smith,1700358,11150,QB,SEA,296,19.34117647,10,202.6
Matthew Stafford,1114942,9431,QB,LAR,295,19.05411765,6,151
Daniel Jones,2179245,14059,QB,NYG,273,17.88117647,11,227.3
Aaron Rodgers,419780,7836,QB,NYJ,273,17.45647059,12,145.8
Russell Wilson,1272242,10703,QB,PIT,241,15.86705882,9,215.2
Will Levis,2964377,,QB,TEN,231,15.55411765,5,205
J.J. McCarthy,26695214,,QB,MIN,228,15.15647059,6,189.8
Bryce Young,3161957,,QB,CAR,226,14.86823529,11,218.3
Bo Nix,3121193,,QB,DEN,218,14.32705882,14,224
Gardner Minshew,2183083,14067,QB,LV,178,11.77529412,10,270.5
Drake Maye,26695757,,QB,NE,135,9.869411765,14,213.3
