player,pos,team,non_ppr_projection,ppr_projection,bye_week,ADP
Jalen Hurts,QB,PHI,425,26.94941176,5,31.8
Josh Allen,QB,BUF,408,25.87176471,12,26.2
Patrick Mahomes,QB,KC,375,23.84941176,6,29.6
Lamar Jackson,QB,BAL,367,23.26823529,14,37.6
Jordan Love,QB,GB,363,22.96,10,74.2
Dak Prescott,QB,DAL,358,22.94,7,68.4
Brock Purdy,QB,SF,351,22.35882353,9,96.2
Joe Burrow,QB,CIN,351,22.34,12,60
C.J. Stroud,QB,HOU,344,21.9,14,47.6
Anthony Richardson,QB,IND,339,21.47411765,14,53.4
Trevor Lawrence,QB,JAC,334,21.37882353,12,133.2
Kyler Murray,QB,ARI,328,21.17882353,11,75.6
Justin Herbert,QB,LAC,333,21.02941176,5,128.8
Jared Goff,QB,DET,336,21.00588235,5,118
Caleb Williams,QB,CHI,317,20.69529412,7,117.8
Jayden Daniels,QB,WAS,311,20.34941176,14,109.4
Kirk Cousins,QB,ATL,323,20.32823529,12,146
Derek Carr,QB,NO,316,19.87411765,12,223.6
Baker Mayfield,QB,TB,308,19.86352941,11,166.6
Deshaun Watson,QB,CLE,302,19.74705882,10,168.4
Tua Tagovailoa,QB,MIA,308,19.61411765,6,115.6
Geno Smith,QB,SEA,296,19.34117647,10,202.6
Matthew Stafford,QB,LAR,295,19.05411765,6,151
Daniel Jones,QB,NYG,273,17.88117647,11,227.3
Aaron Rodgers,QB,NYJ,273,17.45647059,12,145.8
Russell Wilson,QB,PIT,241,15.86705882,9,215.2
Will Levis,QB,TEN,231,15.55411765,5,205
J.J. McCarthy,QB,MIN,228,15.15647059,6,189.8
Bryce Young,QB,CAR,226,14.86823529,11,218.3
Bo Nix,QB,DEN,218,14.32705882,14,224
Gardner Minshew,QB,LV,178,11.77529412,10,270.5
Drake Maye,QB,NE,135,9.869411765,14,213.3
Jacoby Brissett,QB,NE,67,5.172941176,14,344
Taysom Hill,QB,NO,109,4.471764706,12,198.5
Taysom Hill,QB,NO,109,4.471764706,12,198.5
Sam Darnold,QB,MIN,61,4.422352941,6,283
Aidan O'Connell,QB,LV,54,3.858823529,10,267.5
Jarrett Stidham,QB,DEN,41,3.303529412,14,419
Justin Fields,QB,PIT,38,3.298823529,9,203.5
Joshua Dobbs,QB,SF,9,0.881176471,9,406
Josh Johnson,QB,BAL,9,0.856470588,14,443.5
Easton Stick,QB,LAC,9,0.830588235,5,449
Kenny Pickett,QB,PHI,7,0.828235294,5,285
Marcus Mariota,QB,WAS,7,0.810588235,14,456
Davis Mills,QB,HOU,8,0.804705882,14,489
Carson Wentz,QB,KC,7,0.802352941,6,356
Jake Browning,QB,CIN,6,0.8,12,393
Tyrod Taylor,QB,NYJ,8,0.794117647,12,476.5
Jameis Winston,QB,CLE,7,0.788235294,10,387
Trey Lance,QB,DAL,7,0.774117647,7,392
Mac Jones,QB,JAC,6,0.765882353,12,372.5
Sam Howell,QB,SEA,6,0.748235294,10,359.5
Tyson Bagent,QB,CHI,7,0.743529412,7,397
Andy Dalton,QB,CAR,9,0.74,11,438.5
Jimmy Garoppolo,QB,LAR,5,0.737647059,6,432.5
Mike White,QB,MIA,6,0.722352941,6,417.5
Cooper Rush,QB,DAL,6,0.708235294,7,368
Michael Penix Jr.,QB,ATL,8,0.703529412,12,272.3
Nathan Rourke,QB,ATL,8,0.703529412,12,666
Joe Flacco,QB,IND,7,0.698823529,14,321
Michael Pratt,QB,GB,8,0.687058824,10,857
