player,src_id,id,pos,team,non_ppr_projection,ppr_projection,bye_week,ADP
Jalen Hurts,2240246,14783,QB,PHI,425,458.14,5,31.8
Josh Allen,2181054,13589,QB,BUF,408,439.82,12,26.2
Patrick Mahomes,2142052,13116,QB,KC,375,405.44,6,29.6
Lamar Jackson,2181169,13593,QB,BAL,367,395.56,14,37.6
Jordan Love,2239997,14782,QB,GB,363,390.32,10,74.2
Dak Prescott,1824864,12620,QB,DAL,358,389.98,7,68.4
Brock Purdy,2961306,15698,QB,SF,351,380.1,9,96.2
Joe Burrow,2179798,14777,QB,CIN,351,379.78,12,60
C.J. Stroud,3163079,,QB,HOU,344,372.3,14,47.6
Anthony Richardson,3163263,,QB,IND,339,365.06,14,53.4
Trevor Lawrence,2967185,15237,QB,JAC,334,363.44,12,133.2
Kyler Murray,2180829,14056,QB,ARI,328,360.04,11,75.6
Justin Herbert,2221960,14779,QB,LAC,333,357.5,5,128.8
Jared Goff,2061053,12611,QB,DET,336,357.1,5,118
Caleb Williams,26695775,,QB,CHI,317,351.82,7,117.8
Jayden Daniels,3123337,,QB,WAS,311,345.94,14,109.4
Kirk Cousins,1272574,10700,QB,ATL,323,345.58,12,146
Derek Carr,1664819,11644,QB,NO,316,337.86,12,223.6
Baker Mayfield,2080032,13590,QB,TB,308,337.68,11,166.6
Deshaun Watson,2133482,13113,QB,CLE,302,335.7,10,168.4
Tua Tagovailoa,2741209,14778,QB,MIA,308,333.44,6,115.6
Geno Smith,1700358,11150,QB,SEA,296,328.8,10,202.6
Matthew Stafford,1114942,9431,QB,LAR,295,323.92,6,151
Daniel Jones,2179245,14059,QB,NYG,273,303.98,11,227.3
Aaron Rodgers,419780,7836,QB,NYJ,273,296.76,12,145.8
Russell Wilson,1272242,10703,QB,PIT,241,269.74,9,215.2
Will Levis,2964377,,QB,TEN,231,264.42,5,205
J.J. McCarthy,26695214,,QB,MIN,228,257.66,6,189.8
Bryce Young,3161957,,QB,CAR,226,252.76,11,218.3
Bo Nix,3121193,,QB,DEN,218,243.56,14,224
Gardner Minshew,2183083,14067,QB,LV,178,200.18,10,270.5
Drake Maye,26695757,,QB,NE,135,167.78,14,213.3
Jacoby Brissett,1877247,12616,QB,NE,67,87.94,14,344
Taysom Hill,2818935,13424,QB,NO,109,76.02,12,198.5
Taysom Hill,2818935,13424,QB,NO,109,76.02,12,198.5
Sam Darnold,2180320,13592,QB,MIN,61,75.18,6,283
