avg_type,id,pos,points,sd_pts,dropoff,floor,ceiling,points_vor,floor_vor,ceiling_vor,rank,floor_rank,ceiling_rank,pos_rank,tier,pos_ecr.x,sd_ecr.x,pos_ecr.y,sd_ecr.y
average,14783,QB,130.7194,196.970292186106,4.79113333333334,14.86262,324.29522,35.4310666666667,0.374220000000001,83.92168,10,93,9,1,1,4.33,0.47,4.33,0.47
average,13589,QB,125.928266666667,186.973586304091,8.94580000000001,16.79808,309.58428,30.6399333333333,2.30968,69.21074,15,49,17,2,1,1,0,1,0
average,13116,QB,116.982466666667,171.873526840678,3.7764,16.78546,285.7924,21.6941333333333,2.29706,45.41886,28,50,32,3,1,2,0,2,0
average,13593,QB,113.206066666667,169.226407843733,4.84920000000001,12.40934,279.64688,17.9177333333333,-2.07906,39.27334,37,209,36,4,1,3,0,3,0
average,14782,QB,108.356866666667,162.78640580028,1.52393333333332,13.29922,268.26004,13.0685333333333,-1.18918,27.8865,55,180,55,5,1,10.33,1.25,10.33,1.25
average,15698,QB,106.832933333333,160.463430255786,0.0934666666666715,12.3066,264.54654,11.5446,-2.1818,24.173,59,215,57,6,1,17,1.63,17,1.63
average,12620,QB,106.739466666667,160.438246056398,0.615733333333324,12.35024,264.41504,11.4511333333333,-2.13816,24.0415,60,213,58,7,1,12.33,0.47,12.33,0.47
average,14777,QB,106.123733333333,155.594751551758,2.75720000000001,15.0444,258.98796,10.8354,0.555999999999999,18.61442,61,88,65,8,1,7,0,7,0
average,14779,QB,103.366533333333,154.269538967268,0.393533333333323,13.76812,254.84644,8.07820000000001,-0.720280000000001,14.4729,68,158,73,9,1,15.67,1.25,15.67,1.25
average,14056,QB,102.973,149.884898892317,3.30620000000002,15.51238,250.19584,7.68466666666669,1.02398,9.82230000000004,69,75,80,10,1,8,0,8,0
average,15237,QB,99.6668,152.273971710992,0.112666666666655,8.66132,249.46388,4.37846666666667,-5.82708,9.09034000000003,84,432,82,11,1,14.33,1.25,14.33,1.25
average,12611,QB,99.5541333333333,149.437535166281,4.26580000000001,12.01128,246.37686,4.26580000000001,-2.47712,6.00332000000003,85,235,91,12,1,9.33,0.47,9.33,0.47
average,10700,QB,95.2883333333333,147.515474633997,2.67513333333332,7.44418,240.37354,0,-7.04422,0,103,579,103,13,1,22,0,22,0
average,13590,QB,92.6132,138.630839554841,2.63373333333334,11.3214,228.82728,-2.67513333333332,-3.167,-11.54626,118,259,129,14,1,18,0.82,18,0.82
average,11644,QB,89.9794666666667,137.602368387515,0.451333333333338,9.36784,225.17434,-5.30886666666666,-5.12056,-15.1992,136,369,137,15,1,25.67,0.47,25.67,0.47
average,14778,QB,89.5281333333333,133.301818472868,0.00539999999999452,11.25092,220.51838,-5.7602,-3.23748,-19.85516,141,262,152,16,1,13,1.63,13,1.63
average,9431,QB,89.5227333333333,129.382390050939,1.05306666666667,14.51906,216.54854,-5.76559999999999,0.0306599999999992,-23.825,142,102,167,17,1,18.33,0.47,18.33,0.47
average,11150,QB,88.4696666666667,132.792490948597,0.403333333333322,10.9273,218.9101,-6.81866666666666,-3.5611,-21.46344,150,279,158,18,1,23.67,0.94,23.67,0.94
average,13113,QB,88.0663333333334,131.33265297927,3.76220000000001,10.71294,217.14702,-7.22199999999998,-3.77546,-23.22652,157,288,165,19,1,20.33,0.47,20.33,0.47
average,14059,QB,84.3041333333333,127.026560303164,0.11333333333333,10.46684,209.04104,-10.9842,-4.02156,-31.3325,178,299,185,20,1,20.67,0.47,20.67,0.47
