player_name,week,completions,attempts,passing_yards,passing_tds,interceptions,carries,rushing_yards,rushing_tds,receptions,targets,receiving_yards,receiving_tds,fantasy_points,fantasy_points_ppr
A.Abdullah,16,0,0,0,0,0,15,89,0,19,24,131,0,22.0,41.0
A.Armah,3,0,0,0,0,0,0,0,0,3,3,13,0,1.3,4.3
A.Beck,12,0,0,0,0,0,5,3,1,11,13,55,2,27.8,38.8
A.Brown,17,0,0,0,0,0,0,0,0,106,158,1456,7,183.6,289.6
A.Cooper,15,0,0,0,0,0,0,0,0,72,128,1250,5,155.0,227.0
A.Dalton,2,34,58,361,2,0,3,12,0,0,0,0,0,23.64,23.64
A.Davis,2,0,0,0,0,0,2,3,0,0,0,0,0,0.30000000000000004,0.30000000000000004
A.Dillon,15,0,0,0,0,0,178,613,2,22,28,223,0,95.6,117.6
A.Ekeler,14,0,0,0,0,0,179,628,5,51,74,436,1,134.4,185.4
A.Erickson,8,0,0,0,0,0,0,0,0,16,29,232,1,29.2,45.2
A.Gibson,16,0,0,0,0,0,65,265,1,48,59,389,2,79.4,127.4
A.Green,2,0,0,0,0,0,0,0,0,1,2,2,0,0.2,1.2
A.Hooker,1,0,0,0,0,0,1,2,0,0,0,0,0,0.2,0.2
A.Hooper,16,0,0,0,0,0,0,0,0,25,31,234,0,23.4,48.4
A.Ingold,10,0,0,0,0,0,2,0,0,13,16,119,0,11.9,24.9
A.Iosivas,9,0,0,0,0,0,0,0,0,15,25,116,4,35.6,50.6
A.Jones,11,0,0,0,0,0,142,656,2,30,43,233,1,104.9,134.9
A.Kamara,13,0,0,0,0,0,180,694,5,75,86,466,1,158.0,233.0
A.Lazard,13,0,0,0,0,0,0,0,0,23,49,311,1,37.1,60.099999999999994
A.Mattison,16,0,0,0,0,0,180,700,0,30,44,192,3,103.2,133.20000000000002
A.McCarron,2,4,5,19,0,0,0,0,0,0,0,0,0,0.76,0.76
A.McFarland,1,0,0,0,0,0,0,0,0,2,2,11,0,1.1,3.1
A.O'Connell,11,213,343,2218,12,7,17,11,1,0,0,0,0,125.82,125.82
