player_name,week,completions,attempts,passing_yards,passing_tds,interceptions,carries,rushing_yards,rushing_tds,receptions,targets,receiving_yards,receiving_tds,fantasy_points,fantasy_points_ppr
A.Abdullah,8.0,0.0,0.0,0.0,0.0,0.0,58.666666666666664,228.83333333333334,1.0,12.333333333333334,17.333333333333332,86.5,0.6666666666666666,40.53333333333333,52.86666666666667
A.Armah,6.8,0.0,0.0,0.0,0.0,0.0,5.2,11.2,0.6,2.4,3.2,8.6,0.2,6.779999999999999,9.18
A.Auclair,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.8,26.2,0.2,3.8200000000000003,6.82
A.Baccellia,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,10.0,45.0,0.0,4.5,11.5
A.Bachman,1.0,0.0,0.0,0.0,0.0,0.0,1.0,-3.0,0.0,0.0,0.0,0.0,0.0,-0.3,-0.3
A.Beck,9.666666666666666,0.3333333333333333,0.3333333333333333,2.0,0.0,0.0,2.6666666666666665,2.0,0.3333333333333333,8.333333333333334,12.0,71.33333333333333,1.0,16.746666666666666,25.08
A.Benn,8.0,0.0,0.0,0.0,0.0,0.0,3.0,8.8,0.0,13.0,21.4,198.0,1.2,27.880000000000003,40.88
A.Blake,1.0,0.0,0.0,0.0,0.0,0.0,0.5,-1.0,0.0,0.5,0.5,12.5,0.0,1.15,1.65
A.Blue,12.0,0.0,0.0,0.0,0.0,0.0,118.25,426.0,1.25,11.0,13.0,68.25,0.5,60.425,71.425
A.Brewer,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
A.Brown,12.0,0.25,0.75,3.75,0.0,0.25,5.0,17.0,0.0,57.75,91.25,776.5,3.25,101.0,158.75
A.Burbridge,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,16.0,88.0,0.0,8.8,15.8
A.Callaway,7.666666666666667,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,2.3333333333333335,0.0,17.666666666666668,32.666666666666664,231.66666666666666,1.6666666666666667,33.4,51.06666666666667
A.Carr,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.333333333333333,7.333333333333333,44.333333333333336,1.0,10.433333333333332,14.766666666666666
A.Castonzo,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,6.1,7.1
A.Chickillo,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0
A.Cleveland,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,0.5,0.0,0.05,0.55
A.Cole,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A.Collins,9.6,0.0,0.0,0.0,0.0,0.0,96.6,399.4,3.6,11.8,16.0,93.4,0.2,69.28,81.08
A.Cooper,12.0,0.0,0.0,0.0,0.0,0.0,1.5,2.5,0.0,53.5,92.75,760.0,4.5,103.75,157.25
A.Cross,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.333333333333333,7.0,35.0,0.3333333333333333,5.5,9.833333333333334
A.Dalton,16.0,330.6666666666667,543.3333333333334,3786.6666666666665,26.666666666666668,16.333333333333332,48.333333333333336,151.66666666666666,2.3333333333333335,0.0,0.3333333333333333,0.0,0.0,248.63333333333333,248.63333333333333
A.Darboh,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,13.0,71.0,0.0,7.1,15.1
A.Davis,3.2,47.2,75.6,509.6,2.6,2.4,5.4,14.6,0.0,0.0,0.0,0.0,0.0,25.444,25.444
A.Derby,6.666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.333333333333334,21.666666666666668,150.66666666666666,1.0,19.733333333333334,33.06666666666667
A.Dillon,12.0,0.0,0.0,0.0,0.0,0.0,120.75,502.25,3.75,16.75,22.0,141.25,0.5,89.35,106.1
A.Dobson,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.666666666666668,32.666666666666664,232.66666666666666,1.3333333333333333,31.266666666666666,48.93333333333334
A.Dulin,7.5,0.0,0.0,0.0,0.0,0.0,1.75,12.75,0.0,8.25,13.0,112.5,0.75,17.025,25.275
A.Ekeler,12.0,0.0,0.0,0.0,0.0,0.0,87.0,415.75,2.25,46.5,57.25,476.25,3.5,121.7,168.20000000000002
A.Ellington,12.0,0.0,0.0,0.0,0.0,0.0,97.75,419.75,2.25,27.25,40.0,245.5,0.75,83.025,110.275
